,Date,Month-Year,Warehouse Code,Customer Code,Order Number,Order Line Number,Item Code,Units,Euros,Conversion Ratio,Warehouse Name,Warehouse Country,Warehouse City,Customer Country,Customer City,Road,Rail,Sea,Air,Location,GPS 1,GPS 2,KG,CO2 Road,CO2 Rail,CO2 Sea,CO2 Air,CO2 Total
23,2021-01-08 00:00:00.000,1-2021,3403434,5029913-13,20258208,12,935588-88,560.0,1579.31,0.03488,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,FRANCE,MOISSY-CRAMAYEL,288.437,0.0,0.0,0.0,"FRANCE, MOISSY-CRAMAYEL",48.6246665,2.5957563,19.5328,0.5408622944256001,0.0,0.0,0.0,0.5408622944256001
24,2021-01-08 00:00:00.000,1-2021,3403434,5029913-13,20258208,13,964787-87,560.0,506.41,0.02421,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,FRANCE,MOISSY-CRAMAYEL,288.437,0.0,0.0,0.0,"FRANCE, MOISSY-CRAMAYEL",48.6246665,2.5957563,13.557599999999999,0.3754092932352,0.0,0.0,0.0,0.3754092932352
25,2021-01-08 00:00:00.000,1-2021,3403434,5029913-13,20258208,14,964809-09,300.0,546.33,0.0599,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,FRANCE,MOISSY-CRAMAYEL,288.437,0.0,0.0,0.0,"FRANCE, MOISSY-CRAMAYEL",48.6246665,2.5957563,17.97,0.49758843744000003,0.0,0.0,0.0,0.49758843744000003
26,2021-01-08 00:00:00.000,1-2021,3403434,5029913-13,20258208,15,964859-59,760.0,1191.83,0.0545499999999999,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,FRANCE,MOISSY-CRAMAYEL,288.437,0.0,0.0,0.0,"FRANCE, MOISSY-CRAMAYEL",48.6246665,2.5957563,41.45799999999992,1.1479700300159978,0.0,0.0,0.0,1.1479700300159978
27,2021-01-08 00:00:00.000,1-2021,3403434,5029913-13,20258208,16,9672961-61,400.0,773.96,0.021,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,FRANCE,MOISSY-CRAMAYEL,288.437,0.0,0.0,0.0,"FRANCE, MOISSY-CRAMAYEL",48.6246665,2.5957563,8.4,0.23259559680000005,0.0,0.0,0.0,0.23259559680000005
28,2021-01-08 00:00:00.000,1-2021,3403434,5029913-13,20258208,17,992668-68,700.0,1416.45,0.0215,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,FRANCE,MOISSY-CRAMAYEL,288.437,0.0,0.0,0.0,"FRANCE, MOISSY-CRAMAYEL",48.6246665,2.5957563,15.049999999999999,0.41673377759999997,0.0,0.0,0.0,0.41673377759999997
29,2021-01-08 00:00:00.000,1-2021,3403434,5029913-13,20258208,18,8871561-61,1120.0,1274.78,0.04395,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,FRANCE,MOISSY-CRAMAYEL,288.437,0.0,0.0,0.0,"FRANCE, MOISSY-CRAMAYEL",48.6246665,2.5957563,49.224000000000004,1.3630101972480002,0.0,0.0,0.0,1.3630101972480002
30,2021-01-08 00:00:00.000,1-2021,3403434,5029913-13,20258208,19,896049-49,300.0,1115.46,0.0163,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,FRANCE,MOISSY-CRAMAYEL,288.437,0.0,0.0,0.0,"FRANCE, MOISSY-CRAMAYEL",48.6246665,2.5957563,4.89,0.13540386527999998,0.0,0.0,0.0,0.13540386527999998
31,2021-01-08 00:00:00.000,1-2021,3403434,5029913-13,20258208,20,875577-77,700.0,424.9,0.024,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,FRANCE,MOISSY-CRAMAYEL,288.437,0.0,0.0,0.0,"FRANCE, MOISSY-CRAMAYEL",48.6246665,2.5957563,16.8,0.4651911936000001,0.0,0.0,0.0,0.4651911936000001
32,2021-01-08 00:00:00.000,1-2021,3403434,5029913-13,20258208,21,8902742-42,375.0,324.86,0.058,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,FRANCE,MOISSY-CRAMAYEL,288.437,0.0,0.0,0.0,"FRANCE, MOISSY-CRAMAYEL",48.6246665,2.5957563,21.75,0.602256456,0.0,0.0,0.0,0.602256456
